8C,Player,Tm,G,MIN,PTS,FGM,FGA,FG%,3PT,FTM,FTA,FT%,AST,REB,STL,BLK,TO,ID
N/A,Kyle Singler,DET,82,25,9,3.1,7,0.45,1,1.7,2.1,0.828,0.8,3.3,0.6,0.4,1,1863
185,Mo Williams,MIN,71,25,9.6,3.7,8.9,0.423,1.1,1,1.2,0.89,4.1,2,0.7,0.1,2,973
145,Caron Butler,DET,72,25,10.4,3.8,9.4,0.411,1.6,1.1,1.3,0.84,1.3,3.5,0.8,0.3,0.8,857
271,Jonas Jerebko,DET,76,21,9.5,3.6,7.8,0.461,0.8,1.5,2,0.75,0.8,4.8,1,0.4,1.1,1644
134,Tony Wroten,PHI,75,27,15.4,5.5,13.1,0.423,0.8,3.5,5.3,0.658,3.6,3.9,1.4,0.3,3.3,1958
76,Elfrid Payton,ORL,81,29,9.5,3.4,7.6,0.441,0.2,2.6,4.2,0.629,4.6,3,1.4,0.3,3.1,2343
261,Shaun Livingston,GS,72,25,7.9,2.9,6,0.486,0,2,2.4,0.833,3,2.9,1.1,0.4,1.3,1044
164,Carlos Boozer,LAK,72,29,14.1,6.1,13.2,0.461,0,1.9,2.6,0.732,1.6,8.3,0.7,0.3,2.2,881
113,Ersan Ilyasova,MLW,69,27,10.8,4.1,9.4,0.443,0.8,1.7,2.1,0.815,1.3,6.2,0.8,0.3,1,1147
130,Marcus Smart,BOS,81,24,9.7,3.1,7.7,0.404,0.6,2.8,3.7,0.764,2.9,2.6,1.2,0.2,2.1,2126
224,Cody Zeller,CHA,82,20,7.5,3.8,8.5,0.441,0,1.5,2,0.732,3.5,1.5,1,1,0.4,2130
173,Tony Allen,MEM,70,24,8.9,3.6,7.4,0.489,0.1,1.5,2.1,0.698,1.6,3.8,1.7,0.4,1.5,1065
177,Tim Hardaway Jr.,NY,81,25,11.5,4.1,9.5,0.428,1.8,1.6,1.9,0.826,1,1.6,0.6,0.1,0.8,2127
N/A,Ray Allen,MIA,72,24,9.2,3.1,7.1,0.442,1.6,1.3,1.5,0.889,1.6,2.7,0.6,0.1,1.1,398
169,Rodney Hood,UTA,81,30,12,4.2,9.9,0.429,1.4,2.1,2.6,0.808,1.5,3.1,0.4,0.2,1.8,2347
211,Evan Turner,BOS,79,23,9.6,3.6,8.3,0.431,0.6,1.8,2.4,0.768,3,4.8,0.7,0.2,1.8,1701
167,Solomon Hill,IND,82,28,9.1,3.4,7.5,0.448,0.7,1.7,2.1,0.782,1.2,3.6,0.8,0.3,2.1,2204
N/A,Iman Shumpert,NY,75,27,7.2,2.7,6.7,0.399,1,0.8,1,0.769,1.7,4.2,1.3,0.2,1.2,1865
258,O.J. Mayo,MLW,73,25,11.1,4.1,9.9,0.415,1.5,1.4,1.7,0.829,2.2,2.3,0.6,0.3,1.8,1505
N/A,Norris Cole,MIA,81,26,7.6,2.9,7.1,0.41,0.9,0.8,1.1,0.744,3.9,2.2,1,0.1,1.9,1872
143,Nik Stauskas,SAC,81,28,10.9,3.8,8.6,0.438,1.3,2.1,2.5,0.84,2,1.9,0.3,0.1,1.9,2345
260,Shelvin Mack,ATL,74,21,7.9,3,7.1,0.422,0.9,1,1.2,0.849,4,2.3,0.8,0,1.2,1857
103,Alec Burks,UTA,78,25,11.6,4.1,8.8,0.463,0.7,2.8,3.8,0.742,1.7,3,0.8,0.2,1.4,1835
242,Mike Scott,ATL,80,19,10.4,4,8.3,0.476,0.9,1.5,2,0.782,1.2,3.8,0.4,0.1,1.1,1994
303,Andrea Bargnani,NY,61,28,12.2,4.8,11.2,0.432,0.8,1.8,2.1,0.837,1.1,5,0.4,1,1.3,1253
N/A,Anthony Morrow,OKC,75,23,9.3,3.4,7.5,0.452,1.5,1.1,1.3,0.875,1,2,0.5,0.1,0.8,1555
N/A,Pablo Prigioni,NY,72,19,3.9,1.3,2.8,0.46,1.1,0.3,0.3,0.864,3.5,2.1,1.1,0,1,2030
284,Evan Fournier,ORL,78,23,10.5,3.6,8.5,0.423,1.6,1.7,2.2,0.768,1.9,3.3,0.5,0.1,1.7,1983
269,Chris Kaman,POR,68,20,8.7,3.8,7.4,0.511,0,1.1,1.5,0.755,1.2,5.7,0.3,1.1,1.7,932
309,Chris Andersen,MIA,67,21,6.7,2.5,4.3,0.596,0,1.6,2.3,0.694,0.3,6,0.4,1.4,0.8,847
227,Marvin Williams,CHA,65,26,8.6,3.2,7.5,0.431,1.3,0.9,1.1,0.795,1.2,5,0.7,0.5,0.8,1125
86,Danilo Gallinari,DEN,68,27,10.4,3.3,8.2,0.408,1.2,2.5,3,0.831,1.7,3.8,0.7,0.4,1.3,1472
188,Ben McLemore,SAC,82,27,9.9,3.5,8.7,0.395,1.3,1.6,2,0.813,1.2,3.2,0.6,0.2,1.4,2118
138,JaVale McGee,DEN,60,20,9.6,4.1,7.2,0.566,0,1.5,2.5,0.584,0.3,5.1,0.4,2,1.4,1508
121,Anderson Varejao,CLE,61,29,7.9,3.2,6.3,0.507,0,1.6,2.3,0.696,1.2,7.4,1,0.6,1.1,1070
301,Jerryd Bayless,MLW,75,20,9.2,3.4,8.2,0.411,0.9,1.5,1.9,0.804,2.3,2,1,0.2,1.1,1491
245,Nate Robinson,DEN,68,21,9.9,3.5,8.2,0.42,1.5,1.5,1.8,0.821,2.5,1.8,0.8,0.1,1.4,1153
117,Nene Hilario,WAS,56,28,13.4,5.2,10.3,0.51,0,3,4.5,0.654,2.6,5.1,1,0.8,2,854
137,Jameer Nelson,DAL,67,28,8.7,3.1,7.6,0.417,1.3,1.1,1.3,0.847,3,2.4,0.7,0.1,1.8,1060
N/A,Gary Harris,DEN,70,17,6.2,2.3,5.4,0.416,1.2,1.7,2.2,0.76,1.8,2.2,1.3,0.2,0.8,2320
289,Mike Dunleavy,CHI,71,24,7.5,2.7,5.9,0.46,1,1.1,1.3,0.817,1.5,2.8,0.6,0.4,0.9,850
210,Ray McCallum,SAC,82,26,7.6,3,7.4,0.398,0.6,1.1,1.5,0.758,3.5,2.3,0.8,0.3,1.2,2196
279,Moe Harkless,ORL,80,21,8.1,3.3,7.1,0.461,0.6,1,1.7,0.581,0.8,3.2,1.2,0.7,1,1949
159,Mirza Teletovic,BKN,77,26,11.1,3.9,9.5,0.413,2.4,0.8,1.1,0.739,1.2,0.4,0.5,0.3,1.1,2012
N/A,Andre Miller,WAS,80,17,4.7,1.6,3.6,0.461,0.2,1.2,1.5,0.817,3.9,2.3,0.8,0.1,1.1,612
267,Andrei Kirilenko,BKN,63,23,8,2.7,5.6,0.494,0.3,2.2,3.1,0.697,2,3.9,1.1,0.6,1.5,628
209,Matthew Dellavedova,CLE,80,21,5.7,2,4.8,0.418,1.1,0.7,0.8,0.803,2.9,2,0.7,0.1,1,2243
N/A,Aaron Brooks,CHI,72,18,8.3,2.9,7.2,0.407,1.4,1,1.2,0.849,2.2,1.6,0.7,0.1,1.4,1406
275,J.J. Hickson,DEN,62,21,10.6,4.2,8.1,0.52,0,2.2,3.4,0.64,1.2,7.7,0.6,0.7,1.8,1503
268,Ryan Kelly,LAK,72,17,6.2,1.8,4.3,0.421,1,1.6,2,0.799,1.5,3.6,0.5,0.7,0.8,2207
N/A,Gerald Wallace,BOS,65,21,6.3,2.2,4.7,0.471,0.4,1.5,2,0.738,2.4,3.4,1.2,0.4,1.4,786
235,Jason Thompson,SAC,78,25,7.6,3.2,6.3,0.5,0,1.3,2,0.641,0.7,6.7,0.4,0.8,1.2,1525
229,Derrick Williams,SAC,76,23,9.3,3,6.8,0.439,0.5,2.8,4,0.711,0.9,4.9,0.8,0.4,1.2,1825
286,Reggie Evans,SAC,76,20,5.4,2,3.9,0.51,0,1.4,2.5,0.553,0.6,8,1.1,0.1,1.2,912
193,Dante Exum,UTA,81,28,11.8,4.3,10.2,0.418,0.7,2.5,3.8,0.658,3.3,2.8,0.9,0.1,2.7,2282
N/A,Al-Farouq Aminu,DAL,80,20,5.5,2.2,4.6,0.48,0.1,0.9,1.3,0.699,1.1,4.9,0.8,0.4,0.9,1719
154,Kentavious Caldwell-Pope,DET,80,21,7.2,2.8,6.7,0.411,0.9,0.8,1,0.772,0.8,2.2,1,0.2,0.5,2145
144,Tristan Thompson,CLE,79,29,7.6,3,6.1,0.493,0,1.6,2.3,0.67,0.7,6,0.5,0.5,1.1,1852
N/A,Kent Bazemore,ATL,75,22,7.7,2.8,6.3,0.441,0.9,1.2,1.9,0.646,1.8,2.4,1.1,0.3,1.5,2034
280,Tyler Hansbrough,TOR,78,16,5.7,1.8,4.1,0.448,0,2,2.7,0.749,1.4,4.9,0.6,0.6,1.3,1481
287,Jeremy Evans,UTA,70,18,6.5,2.8,5.3,0.539,0,0.8,1.2,0.667,0.8,4.9,0.6,0.8,0.7,1765
174,Devin Harris,DAL,64,22,8.3,2.6,6.3,0.409,0.9,2.3,2.8,0.804,4.4,2.1,0.7,0.1,1.4,1045
223,Tyler Zeller,BOS,77,19,7.2,3,6,0.51,0,1.1,1.5,0.75,0.5,4.1,0.4,0.7,1.1,1976
313,Jeff Adrien,HOU,78,17,8.9,3.8,7.3,0.52,0,1.3,2,0.628,0.5,4.7,0.4,0.8,0.9,1782
265,Kosta Koufos,MEM,80,16,6.2,2.8,5.3,0.52,0,0.7,1.1,0.614,0.4,4.8,0.4,1,0.7,1501
241,Thabo Sefolosha,ATL,75,21,5.3,1.9,4.4,0.436,0.8,0.6,0.8,0.763,1.1,2.7,0.9,0.2,0.7,1279
273,Kris Humphries,WAS,70,18,6.2,2.4,5,0.479,0,1.4,1.8,0.77,0.8,5.8,0.4,0.8,1,1054
N/A,Jason Terry,HOU,60,13,8.6,2.9,6.7,0.433,1.5,1.3,1.5,0.856,2.1,1.9,0.7,0,1.2,614
300,Bismack Biyombo,CHA,79,15,3.4,1.4,2.3,0.602,0,0.6,1.3,0.495,0.3,5,0.3,1.2,0.7,1834
298,Steve Blake,POR,62,20,5.1,1.5,3.6,0.42,1.3,0.8,1,0.774,3.3,2.3,0.8,0.2,1.1,964
160,Raymond Felton,DAL,70,24,7.6,2.9,7.1,0.406,0.9,1,1.3,0.753,2.8,2.3,0.9,0.2,1.5,1140
136,Julius Randle,LAK,77,23,8.6,3.2,6.9,0.459,0.1,2.3,3.1,0.719,0.9,6.3,0.3,0.5,1.9,2352
299,DeJuan Blair,WAS,78,17,6.9,2.9,5.6,0.521,0,1.1,1.8,0.621,0.9,4.8,0.7,0.4,1,1598
217,Danny Granger,MIA,57,22,9.5,3.3,8,0.419,1.3,1.5,1.8,0.854,0.9,3.5,0.6,0.4,1.4,1137
198,Amar'e Stoudemire,NY,63,20,10.1,4.1,7.3,0.561,0,1.9,2.6,0.758,0.4,4.2,0.3,0.5,1.2,856
N/A,Ben Gordon,ORL,69,19,10.4,3.9,9.8,0.402,1.2,1.3,1.6,0.827,1.9,1.7,0.5,0.2,1.5,1043
N/A,Michael Kidd-Gilchrist,CHA,75,22,6.4,2.3,4.7,0.482,0,1.8,2.6,0.682,0.7,4.8,0.7,0.6,0.9,1944
168,Otto Porter,WAS,75,24,8.1,2.9,6.8,0.43,0.4,1.8,2.4,0.77,1.1,4,0.7,0.2,1.3,2124
N/A,Dorell Wright,POR,74,16,6.1,2,4.9,0.401,1.2,1,1.2,0.789,1.5,2.9,0.5,0.3,0.8,1059
304,J.J. Barea,MIN,78,19,9.5,3.7,9.4,0.396,1,1.1,1.4,0.78,3.6,2.1,0.4,0,1.8,1326
N/A,Kevin Garnett,BKN,61,19,6.5,2.9,6.3,0.452,0,0.8,1,0.79,1.5,5.9,0.7,0.6,1.2,354
182,T.J. Warren,PHO,70,18,8.8,3.7,7.6,0.49,0.3,1.4,2.2,0.63,0.7,3.4,1.1,0.4,1.1,2360
231,Martell Webster,WAS,62,23,8.2,2.7,6.2,0.431,1.6,1.2,1.5,0.828,1.3,2.5,0.5,0.2,1,1129
253,Shabazz Napier,MIA,66,14,4.5,1.5,3.7,0.393,0.9,1.5,2,0.773,2.4,2.2,1.2,0.1,1.5,2326
239,Jason Smith,NY,60,22,8.5,3.7,7.8,0.47,0,1.1,1.5,0.756,0.8,5.1,0.5,1,1.1,1376
282,Drew Gooden,WAS,66,18,8.9,3.9,8.3,0.47,0.3,0.8,1.1,0.753,0.7,5.5,0.5,0.3,0.9,851
215,Donatas Motiejunas,HOU,79,22,8.5,3.3,7.1,0.459,0.6,1.4,2.2,0.636,0.9,4.9,0.4,0.4,1.2,1854
N/A,Jae Crowder,DAL,78,19,5.4,2,4.6,0.431,0.7,0.7,1,0.731,1,2.7,0.8,0.3,0.7,2016
264,Carl Landry,SAC,56,20,9.6,3.9,7.4,0.53,0,1.7,2.2,0.78,0.8,5.6,0.4,0.4,1.2,1407
296,Nick Calathes,MEM,72,18,5.3,2.1,4.5,0.461,0.4,0.8,1.2,0.64,3.2,2.1,1,0.1,1.6,1606
306,Darrell Arthur,DEN,76,18,6.1,2.6,6,0.441,0.3,0.5,0.7,0.774,0.7,3.1,0.5,0.7,0.8,1490
190,Chris Copeland,IND,75,13,6.9,2.6,5.5,0.471,1.2,0.5,0.7,0.717,0.8,2.3,0.4,0.3,0.8,2032
293,Nick Collison,OKC,72,17,4.7,1.9,3.5,0.558,0,0.8,1.1,0.734,1.5,3.7,0.5,0.4,0.9,938
N/A,Cory Joseph,SA,75,15,5.6,2,4.4,0.45,0.3,1.3,1.6,0.833,2.2,1.8,0.6,0.2,0.7,1878
N/A,Brian Roberts,CHA,76,16,6.2,2.2,5.2,0.425,0.6,1.1,1.2,0.933,2.1,1.2,0.4,0.1,0.8,2040
N/A,Jordan Crawford,GS,64,19,9.1,3.6,8.8,0.41,1.2,1.8,2.2,0.83,2.3,1.9,0.5,0,1.2,1742
N/A,Gary Neal,CHA,71,21,9.6,3.5,8.1,0.428,1.1,1.5,1.8,0.837,1.5,1.6,0.3,0,1.1,1773
N/A,Francisco Garcia,HOU,60,21,6.2,2.3,5.5,0.41,1.4,0.3,0.4,0.75,1.3,2.3,0.6,0.7,0.6,1149
N/A,Richard Jefferson,DAL,80,19,5.2,1.6,3.6,0.45,1,1,1.3,0.731,1.5,2,0.4,0.2,0.6,776
262,Jon Leuer,MEM,69,16,6.9,2.7,5.4,0.5,0.5,0.9,1.3,0.722,0.5,3.5,0.5,0.4,0.7,1873
221,Brandon Davies,PHI,77,20,7.2,2.9,6.9,0.43,0,1.3,2,0.643,1.3,4.7,0.9,0.4,1.1,2246
N/A,Omri Casspi,SAC,72,18,6.1,2,4.8,0.424,1,1.1,1.5,0.704,1.2,3.5,0.6,0.2,1.1,1607
N/A,Alonzo Gee,SAC,79,15,5.2,1.9,4.6,0.419,0.4,0.9,1.2,0.768,0.9,2.5,0.8,0.3,0.9,1675
297,Trevor Booker,UTA,68,19,6.2,2.7,5.2,0.522,0,0.7,1.2,0.598,0.8,5.2,0.7,0.5,0.7,1745
290,Jared Dudley,MLW,77,20,6.3,2.3,5.1,0.449,1,0.7,1,0.714,1.5,2.1,0.5,0.1,0.9,1402
259,Ian Mahinmi,IND,80,16,4,1.4,2.9,0.47,0,1.3,2,0.65,0.3,3.5,0.5,0.9,0.9,1157
250,Zaza Pachulia,MLW,60,20,5.9,2.2,4.8,0.462,0,1.5,2,0.742,1.6,5.6,0.7,0.4,1.3,968
N/A,Mike Miller,CLE,68,19,6.4,2.3,4.9,0.47,1.2,0.5,0.6,0.791,1.4,2.2,0.3,0.1,0.8,682
207,Robert Sacre,LAK,70,20,5.9,2.4,5.3,0.46,0,1,1.5,0.667,0.9,4.5,0.5,0.8,0.8,1999
274,Kirk Hinrich,CHI,71,19,5.4,1.9,4.8,0.407,0.7,0.8,1,0.781,2.2,1.6,0.7,0.2,0.9,933
307,Pero Antic,ATL,65,17,6.6,2.3,5.6,0.421,1.1,0.8,1.1,0.75,1.1,3.9,0.4,0.3,1,2236
N/A,Jordan Farmar,LAC,66,17,6.8,2.3,5.4,0.43,1.3,0.8,1.1,0.753,1.9,1.4,0.5,0.1,1.5,1275
248,Adreian Payne,ATL,70,14,4.9,1.7,3.5,0.488,0.4,1.5,2,0.75,0.8,4.4,0.3,0.4,1.1,2322
237,Marreese Speights,GS,76,13,6.5,2.5,5.7,0.449,0.1,1.3,1.7,0.767,0.5,3.9,0.3,0.5,0.9,1516
285,Festus Ezeli,GS,79,17,3.8,1.5,3.4,0.451,0,0.8,1.4,0.55,0.4,4.4,0.4,1,0.9,1974
295,Isaiah Canaan,HOU,70,17,5.9,1.8,4.5,0.39,1.1,1.3,1.7,0.74,1.5,1.4,0.6,0.2,1.5,2151
252,Andrew Nicholson,ORL,77,14,6.1,2.4,5.7,0.429,0.4,0.8,1,0.805,0.4,3.4,0.2,0.4,0.9,1971
247,Kendrick Perkins,OKC,65,18,3.5,1.4,3.2,0.459,0,0.6,1,0.6,1.1,4.6,0.5,0.8,1.4,953
N/A,Luke Babbitt,NO,64,18,6.8,2.4,6.2,0.381,1.4,0.7,0.9,0.759,1.2,3.4,0.3,0.3,0.7,1729
240,Kevin Seraphin,WAS,75,14,5.9,2.6,5.6,0.469,0,0.6,0.9,0.706,0.5,3,0.3,0.7,1,1740
194,Ed Davis,LAK,65,15,5.4,2.2,4.3,0.52,0,0.9,1.5,0.602,0.3,4.3,0.3,0.9,0.5,1723
176,Aaron Gordon,ORL,81,24,6.5,2.7,5.5,0.486,0.1,1.1,2.5,0.452,1.1,4.2,0.5,0.6,1.1,2313
131,Nikola Mirotic,CHI,58,13,5.1,1.7,3.3,0.526,0.3,1.7,2,0.828,0.3,3.9,0.2,0.6,0.3,1840
225,Nate Wolters,MLW,65,14,5.5,2.2,4.9,0.439,0.4,0.8,1.1,0.681,2.6,2.3,0.5,0.3,1,2197
214,Luc Mbah a Moute,PHI,68,21,5.2,2.2,4.9,0.45,0.1,0.8,1.2,0.671,1.4,3.3,0.6,0.4,0.6,1513
292,Glen Davis,LAC,63,14,4.8,1.8,3.9,0.469,0.1,1,1.5,0.695,0.6,3.8,0.7,0.4,0.9,1383
N/A,Beno Udrih,MEM,65,12,3.4,1.3,2.9,0.432,0.3,0.6,0.7,0.826,2.9,1.9,0.5,0.1,1.1,1068
234,Anthony Tolliver,PHO,68,16,5.2,1.7,4.2,0.409,1.2,0.5,0.7,0.771,0.6,2.5,0.2,0.3,0.5,1455
183,C.J. McCollum,POR,65,15,7.9,3,7,0.429,1.1,0.8,1.2,0.705,1,1.5,0.6,0.1,1.2,2135
216,Alexey Shved,PHI,73,19,5.4,2.1,5.8,0.362,0.7,1.2,1.6,0.735,1.9,2,0.6,0.3,1.1,2028
212,Zach LaVine,MIN,64,16,6.4,2.8,6.7,0.422,1.2,0.7,1.1,0.657,1.4,1.6,0.8,0.1,1.2,2304
N/A,John Salmons,NO,64,22,5.9,2.7,7.2,0.369,0.9,0.5,0.7,0.756,1.8,2.2,0.7,0.3,0.8,873
305,Jeff Ayres,SA,76,14,3.8,1.6,3.1,0.521,0,0.6,0.8,0.738,0.7,3.7,0.2,0.3,0.7,1639
N/A,Jorge Gutierrez,BKN,55,13,4.4,1.7,3.7,0.459,0.3,0.7,0.9,0.74,2.2,1.7,0.9,0.1,0.9,2262
312,Alexis Ajinca,NO,64,14,4.1,1.8,3.4,0.521,0.1,0.5,0.6,0.789,0.4,2.5,0.3,0.5,0.7,1522
N/A,Sebastian Telfair,OKC,62,12,3.9,1.2,3.2,0.391,0.8,0.6,0.8,0.78,2.3,1.1,0.5,0.1,0.8,1053
N/A,James Young,BOS,61,14,4.8,1.6,4.1,0.393,1.4,1.5,2.2,0.694,1.2,2.2,0.4,0.1,1,2367
N/A,Steve Novak,UTA,65,10,3.4,0.9,2.2,0.418,1.3,0.3,0.3,0.9,0.4,1,0.3,0.1,0.1,1298
N/A,Luke Ridnour,ORL,72,14,4,1.6,3.9,0.399,0.6,0.3,0.4,0.69,2.1,1.6,0.5,0.1,0.6,940
N/A,Will Bynum,DET,60,14,5.7,2.1,4.9,0.432,0.2,1.3,1.6,0.802,1.8,1.5,0.6,0.1,1.2,1196
N/A,Jimmer Fredette,NO,65,11,3.9,1.4,3,0.459,0.8,0.4,0.4,0.885,1.1,1,0.3,0,0.6,1829
162,Kendall Marshall,MLW,65,13,6.2,2.5,6.4,0.39,1,0.2,0.4,0.538,2.7,2.4,0.8,0.1,1.2,1954
246,Austin Rivers,NO,77,16,6.2,2.4,6,0.4,0.5,0.9,1.4,0.62,2.2,1.8,0.6,0.1,1.1,1951
218,Jerami Grant,PHI,70,18,6.5,2.7,5.8,0.461,0,1.2,1.8,0.643,1.2,4.2,0.2,0.3,1.3,2291
N/A,Tayshaun Prince,MEM,75,19,5.1,2.1,5.2,0.411,0.3,0.5,0.8,0.633,1.4,2.8,0.5,0.3,0.4,870
N/A,James Jones,CLE,54,12,5.2,1.6,3.7,0.436,1.5,0.4,0.6,0.75,0.5,1.3,0.3,0.2,0.2,975
N/A,Elliot Williams,PHI,70,17,6.4,2.5,5.9,0.419,0.6,1.4,2,0.714,1,1.6,0.5,0.1,1.1,1703
278,Udonis Haslem,MIA,56,15,4.1,1.7,3.3,0.514,0,0.8,1,0.768,0.4,4.1,0.3,0.3,0.6,988
175,Glen Rice Jr.,WAS,63,15,4.7,1.9,5.4,0.35,0.9,0.9,1.2,0.724,0.8,2.4,0.7,0.2,0.9,2166
310,Lavoy Allen,IND,75,15,4.8,2.2,4.8,0.46,0,0.3,0.5,0.684,0.5,2.5,0.3,0.4,0.5,1880
244,Thomas Robinson,POR,77,14,5.8,2.5,5.5,0.45,0,0.8,1.5,0.534,0.6,4.7,0.4,0.4,1,1961
N/A,Chris Johnson,PHI,50,12,4.4,1.4,3.2,0.422,0.9,0.8,1,0.8,0.5,2,0.6,0.1,0.4,2070
N/A,Jannero Pargo,CHA,50,10,4.7,1.7,4.3,0.399,0.9,0.4,0.5,0.76,1.8,0.8,0.6,0,1.1,909
263,Meyers Leonard,POR,62,9,3.2,1.2,2.5,0.487,0,0.8,1,0.806,0.5,3.1,0.2,0.3,0.5,1959
N/A,Quincy Miller,DEN,60,13,4.1,1.5,3.9,0.37,0.5,0.7,1,0.7,0.5,2.5,0.4,0.5,0.9,1975
222,Vitor Faverani,BOS,50,10,4.2,1.6,3.6,0.448,0.3,0.7,1,0.66,0.5,3.2,0.4,0.6,1,2228
N/A,Wayne Ellington,LAK,50,9,3.9,1.4,3.4,0.421,0.7,0.3,0.4,0.889,0.8,1.1,0.5,0,0.4,1487
243,Dennis Schroder,ATL,69,13,4.6,1.8,4.6,0.399,0.3,0.6,0.9,0.683,2.3,1.4,0.4,0,1.2,2160
N/A,Jeff Taylor,CHA,55,19,6.5,2.4,5.9,0.409,0.7,0.9,1.4,0.675,0.8,2.1,0.5,0.2,0.7,1844
200,Arnett Moultrie,PHI,55,18,4.1,1.8,3.9,0.46,0,0.5,0.8,0.659,0.2,3.3,0.6,0.3,0.6,1978
311,Cole Aldrich,NY,50,9,2.5,1,1.8,0.544,0,0.5,0.7,0.771,0.2,2.5,0.2,0.8,0.5,1720
281,Aaron Gray,DET,50,14,3.5,1.5,2.8,0.536,0,0.6,1,0.56,0.7,4.8,0.3,0.3,0.8,1419
N/A,Xavier Henry,LAK,50,13,4.2,1.2,3,0.412,0.5,1.3,2,0.64,0.9,2,0.8,0.1,0.6,1726
N/A,Perry Jones,OKC,70,12,3.6,1.3,3,0.423,0.5,0.5,0.8,0.679,0.5,1.7,0.2,0.2,0.4,1962
N/A,Ishmael Smith,HOU,74,11,2.8,1.2,3.1,0.389,0.1,0.3,0.5,0.568,1.7,1.3,0.5,0.2,0.7,1781
N/A,Willie Green,ORL,72,9,3.3,1.3,3.3,0.409,0.4,0.2,0.3,0.727,0.5,1,0.3,0.1,0.3,967
236,Hasheem Thabeet,DET,50,10,2.6,1.2,1.9,0.604,0,0.3,0.5,0.6,0.1,1.5,0.3,0.6,0.6,1603
219,Alex Len,PHO,60,11,3.1,1.3,2.9,0.438,0,0.5,0.8,0.646,0.2,2.6,0.2,0.5,0.7,2123
N/A,Chase Budinger,MIN,45,20,9.2,3.5,8.2,0.424,1.1,1.1,1.4,0.81,0.9,2.9,0.5,0.2,0.8,1485
283,Paul George,IND,1,12,13,5,9,0.556,1,2,2,1,2,2,2,2,1,1731
N/A,Patty Mills,SA,25,14,6.2,2.2,4.9,0.459,1.2,0.5,0.6,0.867,1.4,1.7,0.6,0.1,0.6,1624
153,Steve Nash,LAK,45,20,7.4,2.4,5.4,0.441,0.9,1.7,1.9,0.895,5.5,2,0.6,0.1,2.3,417
N/A,Quincy Pondexter,MEM,48,17,6.2,2.3,5.4,0.419,0.7,1,1.3,0.758,1.1,1.5,0.4,0.1,0.9,1716
N/A,Jason Richardson,PHI,41,18,8.2,3.1,7.3,0.43,1.2,0.7,1,0.707,1.3,2.8,1,0.3,1,768
N/A,Marquis Teague,BKN,44,10,3,1.1,2.8,0.388,0.1,0.8,1,0.75,1.4,1,0.5,0,0.9,1977
233,Ronny Turiaf,MIN,49,18,4.3,1.7,3,0.562,0,1,1.5,0.635,0.6,4.6,0.3,1.5,0.7,1167
232,Noah Vonleh,CHA,41,9,3.8,1.3,2.6,0.509,0.1,1.1,1.6,0.697,0.2,3.9,0.4,0.6,0.8,2375
